Sex,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Academic_Year,Performance_Index
Male,5,97,No,8,3,83
Male,7,80,No,9,1,74
Male,9,85,No,9,1,85
Female,2,84,No,6,2,61
Male,4,99,No,9,1,85
Female,7,65,Yes,5,4,58
Female,1,77,No,7,5,52
Male,2,90,No,7,4,69
Female,9,75,Yes,7,2,78
Female,7,91,Yes,4,5,82
Male,7,56,No,9,1,47
Male,6,90,No,6,4,79
Female,3,42,No,9,2,21
Male,3,53,Yes,6,2,33
Female,2,88,Yes,9,1,65
Male,6,52,No,4,5,35
Male,4,80,No,5,5,63
Female,5,66,Yes,7,3,50
Male,3,40,Yes,7,3,18
Female,6,96,Yes,9,4,88
Male,3,56,Yes,4,1,35
Female,8,87,No,7,4,82
Female,9,89,Yes,9,2,87
Male,4,73,Yes,8,1,59
Male,9,53,No,9,1,56
Female,7,93,Yes,6,2,86
Male,3,94,No,7,5,70
Female,7,98,Yes,7,2,90
Male,1,56,No,8,4,28
Female,3,42,Yes,5,3,21
Female,6,73,No,9,2,64
Female,4,79,No,5,2,61
Female,7,64,Yes,9,3,54
Female,3,41,No,8,4,20
Female,1,73,No,5,4,49
Male,9,65,Yes,4,5,65
Male,6,70,No,8,5,61
Female,8,48,No,9,5,40
Male,3,69,Yes,6,2,49
Male,8,59,Yes,6,1,52
Female,2,60,No,6,2,38
Female,4,68,No,9,1,51
Female,3,98,No,7,4,76
Male,1,64,No,8,3,42
Male,7,77,No,8,3,68
Female,2,97,Yes,5,2,77
Male,4,83,No,8,4,65
Male,9,64,Yes,8,5,63
Female,6,48,Yes,5,5,35
Male,8,78,Yes,8,1,71
Female,2,83,Yes,8,4,64
Female,7,65,No,4,4,53
Male,6,96,No,9,1,87
Male,9,76,No,5,2,71
Female,7,55,Yes,4,3,43
Male,1,76,Yes,7,2,54
Male,8,51,No,5,3,44
Male,3,63,Yes,9,4,45
Male,2,65,No,8,1,42
Female,3,59,Yes,8,3,38
Male,6,48,Yes,4,5,36
Female,3,62,Yes,4,2,43
Male,5,78,Yes,7,5,67
Male,6,68,Yes,7,5,58
Male,8,70,Yes,9,2,64
Female,7,58,Yes,8,4,51
Female,8,59,No,6,4,57
Male,3,62,No,7,4,40
Male,4,82,Yes,8,4,68
Female,6,66,Yes,7,3,58
Male,7,69,No,5,4,63
Male,9,60,Yes,4,4,56
Male,1,83,No,8,5,60
Male,8,74,No,7,1,68
Female,8,88,No,4,1,82
Male,6,46,No,6,5,33
Male,4,61,No,7,3,47
Female,3,49,Yes,8,2,32
Female,3,62,Yes,5,2,39
Female,6,54,No,4,5,41
Female,8,69,Yes,4,4,61
Female,7,73,No,5,5,63
Female,1,52,Yes,8,4,27
Female,6,99,Yes,9,1,88
Female,7,43,Yes,6,3,35
Male,7,57,Yes,9,3,48
Female,9,95,Yes,5,1,95
Female,5,62,Yes,6,2,48
Female,1,72,Yes,8,2,45
Female,2,73,Yes,7,5,49
Male,4,73,No,7,2,57
Female,5,75,No,9,4,61
Female,9,74,Yes,8,3,75
Female,1,56,Yes,6,3,26
Male,3,67,Yes,9,4,47
Female,5,53,No,5,5,37
Female,3,73,Yes,9,2,55
Male,4,87,Yes,8,4,73
Male,3,50,No,8,3,30
Female,4,96,No,7,5,80
Male,1,52,No,5,1,24
Female,8,72,Yes,7,2,66
Male,4,96,No,6,2,77
Female,7,94,Yes,6,3,86
Male,2,41,No,4,4,13
Female,2,73,Yes,8,3,52
Male,6,92,Yes,5,2,80
Female,2,68,Yes,5,3,44
Female,6,76,No,7,2,68
Male,2,43,Yes,9,4,23
Female,4,51,Yes,9,2,36
Male,7,65,Yes,7,2,58
Male,8,97,No,9,3,91
Male,3,67,Yes,5,1,48
Male,9,42,Yes,7,4,40
Male,2,59,Yes,9,4,33
Male,8,49,Yes,4,2,46
Female,8,91,No,8,4,87
Male,4,57,Yes,4,4,39
Female,1,92,No,9,1,70
Female,1,92,No,6,4,67
Female,2,92,Yes,5,5,68
Male,9,66,No,4,4,61
Male,2,70,No,4,1,51
Female,2,66,No,7,5,43
Male,6,81,Yes,7,5,70
Male,7,40,No,7,1,34
Male,7,45,No,9,3,33
Male,9,50,Yes,6,5,46
Male,6,73,Yes,4,5,60
Female,8,78,No,8,3,73
Male,6,59,No,7,2,47
Male,2,92,No,6,3,67
Female,1,60,Yes,9,3,37
Male,5,60,No,6,5,44
Female,9,57,Yes,7,5,55
Male,8,60,No,5,3,52
Female,4,58,No,4,5,42
Male,5,43,Yes,7,4,28
Male,5,52,No,8,3,31
Male,6,57,Yes,4,4,42
Female,3,91,No,6,2,71
Male,5,68,Yes,8,2,54
Male,2,64,Yes,4,3,42
Female,1,95,No,8,1,68
Male,1,52,Yes,6,3,27
Male,7,66,No,7,3,59
Male,2,99,Yes,8,2,77
Male,4,58,Yes,7,4,43
Male,5,88,Yes,6,3,73
Female,7,40,No,6,4,31
Male,2,77,Yes,8,4,55
Female,6,58,Yes,8,3,49
Female,1,91,Yes,6,5,65
Female,7,40,No,8,3,30
Female,9,79,No,8,1,75
Male,5,56,Yes,8,5,43
Female,5,60,Yes,9,5,49
Female,4,61,No,8,4,44
Male,3,54,Yes,4,1,35
Male,9,89,Yes,6,1,88
Female,5,78,Yes,6,1,65
Male,8,87,Yes,5,4,82
Female,9,78,Yes,7,4,76
Female,5,71,Yes,5,3,54
Female,9,88,No,8,2,90
Male,2,43,Yes,8,5,23
Male,9,83,Yes,4,5,79
Male,4,84,No,4,5,65
Female,6,71,No,4,2,59
Female,6,43,No,4,1,28
Female,6,92,No,4,2,79
Male,2,40,Yes,4,1,11
Female,7,72,No,4,5,61
Female,6,46,Yes,4,3,36
Male,1,48,No,9,2,22
Female,2,40,No,4,3,20
Female,7,55,No,6,5,45
Male,1,57,Yes,4,3,32
Female,1,93,No,7,2,68
Female,1,86,No,4,1,55
Male,8,45,No,9,5,38
Female,4,41,Yes,8,4,23
Female,4,48,Yes,9,4,33
Female,2,43,No,9,1,22
Male,1,84,Yes,8,4,60
Male,9,62,No,4,2,58
Female,7,93,Yes,4,5,84
Female,4,82,No,8,5,67
Male,6,84,Yes,7,3,79
Female,2,82,No,5,2,61
Female,7,90,Yes,6,5,80
Male,2,47,Yes,8,1,27
Female,8,78,No,4,3,72
Male,8,64,No,6,3,61
Male,1,55,Yes,4,2,25
Male,8,74,No,5,2,67
Male,2,56,No,5,4,33
Male,6,57,No,8,2,46
Female,1,99,No,6,3,73
Male,5,66,Yes,9,1,54
Male,7,54,No,6,3,44
Male,1,99,Yes,9,3,74
Male,2,56,Yes,5,3,31
Female,7,82,No,4,3,73
Male,6,44,No,9,3,34
Male,3,55,Yes,9,1,36
Female,2,54,No,8,2,27
Female,4,81,No,7,1,66
Male,3,85,Yes,5,1,66
Male,7,73,Yes,9,1,64
Female,8,87,Yes,5,2,82
Male,2,58,No,8,3,34
Female,7,47,No,4,2,38
Female,8,86,Yes,6,1,79
Male,6,49,Yes,5,3,35
Male,6,44,No,8,1,33
Female,1,91,No,8,3,65
Female,4,87,No,8,1,69
Female,1,92,Yes,6,1,66
Male,4,65,No,5,1,45
Female,2,61,No,9,3,37
Female,5,83,Yes,8,1,71
Female,9,62,No,6,4,59
Female,3,52,Yes,4,2,32
Male,8,48,No,7,4,40
Female,3,88,Yes,5,5,73
Female,6,59,Yes,6,3,48
Female,4,67,Yes,7,1,52
Female,8,83,No,7,5,79
Female,6,96,No,6,1,85
Male,8,76,No,9,1,72
Male,1,63,No,9,4,39
Female,6,83,Yes,6,3,72
Male,1,72,No,6,5,51
Male,1,59,No,8,1,36
Female,8,99,Yes,4,2,89
Female,7,87,Yes,9,5,82
Male,3,69,Yes,8,1,51
Male,6,83,Yes,7,1,75
Female,9,48,No,7,3,44
Female,7,84,Yes,7,4,72
Male,3,88,No,6,3,66
Female,6,56,No,5,3,41
Female,4,75,Yes,8,4,59
Female,3,53,Yes,5,4,31
Female,9,58,Yes,4,4,54
Female,2,46,Yes,4,4,23
Male,1,98,Yes,8,1,75
Female,2,42,No,7,3,21
Female,7,72,Yes,9,5,69
Male,1,83,No,4,4,56
Male,6,71,Yes,5,1,60
Female,7,86,No,5,2,79
Female,9,50,No,9,3,47
Male,8,81,No,6,3,72
Female,6,41,Yes,7,2,31
Male,3,65,Yes,6,4,45
Male,8,43,Yes,8,1,40
Female,7,56,No,4,5,46
Female,3,56,No,9,2,38
Female,9,67,Yes,9,3,64
Male,2,69,Yes,9,3,46
Female,3,79,No,6,1,58
Female,2,62,No,6,3,37
Male,1,85,Yes,8,1,62
Female,4,63,Yes,5,3,49
Male,5,68,Yes,5,1,53
Male,6,43,No,8,4,30
Male,5,77,No,9,5,59
Female,1,68,Yes,5,3,40
Female,3,58,Yes,8,5,37
Male,1,66,Yes,5,5,41
Female,5,68,Yes,8,4,56
Male,5,95,Yes,5,3,81
Male,6,75,No,9,5,66
Female,8,74,Yes,6,2,71
Male,1,91,No,6,3,64
Male,4,45,No,9,2,31
Male,1,98,No,5,5,72
Male,9,62,No,9,2,57
Female,7,78,No,8,5,67
Female,7,85,No,6,5,76
Female,5,83,No,4,5,68
Male,7,87,No,5,3,78
Female,2,91,Yes,4,4,68
Female,4,47,Yes,4,2,25
Male,7,94,Yes,7,3,86
Female,3,41,Yes,4,3,15
Female,2,52,Yes,4,5,28
Male,2,79,No,9,5,58
Female,1,96,No,7,5,72
Female,5,60,No,7,2,45
Male,6,70,No,7,4,59
Male,6,91,No,8,3,78
Female,9,87,Yes,7,3,84
Male,4,75,Yes,9,4,56
Male,1,87,No,8,2,62
Male,6,91,Yes,5,3,78
Male,5,77,Yes,8,2,62
Female,6,66,Yes,5,1,54
Male,3,75,Yes,7,2,57
Male,2,87,Yes,7,5,61
Male,6,62,No,5,4,49
Female,1,94,Yes,6,5,71
Male,7,60,Yes,9,4,55
Male,7,52,No,8,5,44
Female,7,76,No,9,1,68
Male,1,86,No,9,3,60
Female,4,65,No,4,3,45
Male,7,79,No,7,4,72
Female,9,46,No,8,3,41
Male,5,85,No,9,5,73
Male,2,78,No,8,5,57
Male,7,61,Yes,9,2,55
Female,1,78,No,7,4,53
Female,7,62,No,9,1,53
Female,6,97,Yes,5,1,87
Male,7,69,No,7,5,61
Male,3,57,No,8,1,38
Male,3,81,No,6,5,60
Male,7,57,No,9,2,49
Female,2,85,Yes,5,3,64
Female,1,49,Yes,7,3,23
Female,9,78,No,4,4,72
Male,9,69,Yes,7,2,71
Female,7,65,Yes,8,3,59
Female,7,46,Yes,8,2,38
Female,3,46,Yes,4,3,24
Female,2,44,Yes,5,4,18
Male,7,40,Yes,8,5,33
Male,9,85,No,5,5,81
Male,1,57,No,5,4,30
Female,4,52,Yes,7,2,32
Male,6,64,Yes,5,2,50
Female,7,79,Yes,9,2,73
Female,7,47,No,8,4,38
Male,2,49,No,8,5,28
Male,4,71,No,6,4,57
Male,5,56,No,5,5,41
Female,1,77,No,6,5,52
Female,1,54,No,7,3,26
Female,3,54,Yes,6,2,28
Male,3,96,No,5,2,74
Female,8,87,No,8,2,81
Male,9,79,No,7,1,81
Male,1,90,Yes,5,5,61
Female,2,59,No,7,3,38
Female,2,54,Yes,4,4,29
Female,4,74,Yes,5,4,57
Female,2,45,No,4,4,21
Male,7,69,No,6,5,57
Male,9,96,No,5,1,94
Male,7,47,Yes,4,4,39
Female,6,70,No,9,3,59
Female,1,87,Yes,8,1,64
Female,9,86,Yes,6,3,83
Female,5,71,No,5,4,53
Female,5,84,No,5,3,70
Female,6,97,No,8,2,92
Female,9,91,Yes,8,5,92
Female,8,54,No,4,1,47
Female,8,57,Yes,4,1,51
Female,8,52,No,4,5,45
Female,1,63,Yes,7,1,34
Female,1,79,No,6,2,50
Female,8,53,No,5,4,45
Female,5,67,Yes,6,3,54
Male,9,50,Yes,8,2,52
Male,2,45,No,9,3,20
Male,9,95,Yes,6,3,93
Male,8,64,Yes,6,3,53
Male,9,40,Yes,4,2,35
Male,4,64,Yes,8,2,48
Male,1,41,No,6,2,18
Female,1,71,Yes,5,5,43
Male,5,52,No,4,5,36
Male,2,72,No,6,5,51
Male,8,71,No,8,3,65
Female,5,95,Yes,9,3,81
Female,5,63,No,5,3,45
Female,2,66,No,9,1,46
Female,7,43,No,8,4,32
Male,8,63,No,8,2,60
Male,1,62,No,8,4,33
Male,2,68,Yes,9,1,45
Male,4,73,No,7,1,54
Male,5,60,Yes,5,3,46
Female,2,69,No,8,4,49
Female,1,65,No,7,1,38
Male,9,59,Yes,4,5,53
Female,1,55,Yes,7,3,30
Female,4,42,No,4,2,24
Female,2,88,No,9,5,69
Male,4,76,No,7,2,57
Female,8,97,No,9,4,94
Female,8,79,No,8,1,77
Female,9,83,Yes,7,2,79
Male,5,64,No,7,4,50
Female,7,62,No,8,3,52
Male,3,83,Yes,4,5,64
Female,4,98,Yes,8,4,86
Male,9,40,No,5,3,33
Female,1,72,Yes,7,5,47
Female,2,54,Yes,5,4,31
Male,5,56,Yes,8,3,42
Female,3,73,No,9,2,54
Female,2,56,No,8,2,33
Male,1,91,No,6,5,61
Male,3,97,Yes,5,5,78
Female,1,80,No,6,2,55
Male,1,83,No,5,4,59
Male,1,43,Yes,9,1,20
Male,8,52,No,6,1,43
Male,3,43,Yes,6,1,19
Female,1,46,Yes,5,3,17
Male,7,85,Yes,8,3,73
Female,3,98,Yes,4,3,72
Male,8,48,No,8,1,39
Female,4,62,No,4,2,44
Male,4,72,No,5,2,52
Male,5,72,Yes,7,4,58
Female,6,59,No,8,2,45
Male,7,43,No,6,1,36
Female,4,40,Yes,8,5,22
Female,8,93,Yes,5,5,86
Female,6,81,No,7,1,68
Male,1,73,Yes,7,3,47
Male,1,66,No,8,4,40
Male,9,60,Yes,8,3,58
Male,6,63,Yes,9,1,53
Male,8,54,No,8,3,46
Female,7,74,Yes,5,1,66
Male,6,64,Yes,4,2,49
Male,4,94,Yes,9,1,77
Male,7,48,No,4,1,36
Female,9,56,No,6,1,55
Male,7,60,No,5,4,49
Male,1,99,Yes,9,4,76
Male,9,52,Yes,7,4,45
Female,4,42,Yes,9,2,28
Male,3,43,Yes,6,3,25
Male,4,43,No,7,2,27
Male,4,82,No,9,4,67
Female,2,67,Yes,7,3,44
Female,1,46,No,8,3,18
Female,1,65,No,7,5,37
Male,8,50,No,9,2,43
Female,2,63,Yes,7,5,43
Female,5,82,No,5,4,66
Female,4,49,No,8,3,34
Male,8,76,No,8,5,77
Male,2,52,No,6,3,31
Male,9,83,No,8,5,80
Male,7,81,Yes,4,5,71
Female,7,78,No,5,4,69
Female,1,58,No,6,4,34
Female,2,90,Yes,4,3,69
Male,4,58,No,7,1,44
Male,4,51,Yes,4,1,30
Male,3,91,Yes,6,2,73
Male,7,61,Yes,8,4,52
Male,8,86,Yes,5,5,81
Female,2,76,No,6,3,52
Male,4,95,No,4,5,77
Female,3,69,Yes,4,5,44
Female,2,85,No,6,3,62
Female,6,51,Yes,9,5,44
Male,4,68,No,9,1,51
Male,6,60,No,6,1,48
Female,2,50,Yes,9,4,30
Female,4,99,No,6,3,82
Female,6,76,Yes,8,5,61
Male,5,87,No,6,1,72
Female,3,97,No,7,1,78
Female,8,57,No,5,1,53
Male,7,83,Yes,5,4,78
Male,3,98,Yes,7,4,79
Female,6,66,Yes,4,4,56
Male,4,76,No,4,3,58
Female,5,87,Yes,4,4,72
Female,5,51,Yes,4,5,37
Female,7,62,Yes,8,5,56
Female,5,73,No,7,5,59
Male,3,77,No,5,5,54
Male,5,62,No,7,5,47
Male,7,92,No,5,1,84
Male,5,64,Yes,4,5,50
Male,5,43,No,8,2,27
Male,9,69,Yes,6,4,67
Female,3,69,No,6,4,48
Male,6,52,Yes,9,1,42
Male,1,81,Yes,4,2,55
Female,5,88,No,4,1,73
Male,8,53,Yes,7,5,46
Male,5,95,Yes,8,2,81
Male,9,86,Yes,8,5,82
Female,6,47,Yes,7,3,35
Male,8,94,No,8,1,92
Male,8,63,No,8,4,59
Male,3,57,Yes,6,5,35
Male,7,74,No,8,4,65
Female,7,64,Yes,4,3,53
Male,6,56,Yes,6,4,45
Female,7,71,No,4,4,61
Female,2,95,Yes,4,2,74
Female,9,63,No,7,1,60
Female,1,46,Yes,9,3,23
Female,1,52,No,8,4,25
Male,3,66,No,8,5,45
Female,3,87,Yes,8,1,68
Female,1,44,No,8,3,21
Female,7,75,Yes,6,3,65
Female,4,65,No,5,3,45
Female,2,81,Yes,4,1,58
Female,5,84,No,9,1,76
Male,6,70,No,9,5,57
Female,9,49,No,5,2,46
Male,4,85,Yes,5,5,68
Female,2,65,No,5,5,40
Female,5,61,Yes,6,2,45
Male,3,51,No,5,5,31
Female,2,71,No,6,2,50
Male,1,66,Yes,7,1,43
Female,2,72,No,7,1,50
Female,6,92,Yes,9,3,80
Male,8,91,Yes,7,3,90
Male,3,59,Yes,6,1,38
Male,9,78,Yes,6,2,73
Female,9,80,Yes,4,2,78
Male,2,79,No,5,4,54
Female,8,98,Yes,8,4,92
Male,5,52,No,8,3,39
Female,4,53,Yes,5,5,41
Female,5,83,Yes,8,4,71
Female,4,79,No,8,4,65
Female,8,92,No,8,5,87
Male,4,61,Yes,9,5,47
Male,6,57,Yes,6,4,42
Male,2,87,No,6,5,62
Female,5,68,No,6,3,54
Male,6,82,Yes,5,5,71
Male,5,55,Yes,7,2,42
Male,2,85,Yes,9,2,64
Female,7,74,No,9,1,70
Male,4,92,Yes,8,4,77
Male,8,73,No,4,4,62
Female,7,42,No,6,1,28
Female,7,43,Yes,9,1,36
Female,9,93,Yes,9,2,92
Female,1,44,No,4,3,18
Female,6,49,Yes,8,2,37
Female,6,91,Yes,9,2,81
Male,6,68,No,9,4,57
Male,6,71,Yes,7,2,61
Male,7,70,No,4,1,62
Female,6,41,No,8,2,27
Male,1,51,Yes,8,5,26
Male,3,66,No,6,4,48
Male,2,44,No,7,3,18
Male,6,76,Yes,8,2,66
Male,8,66,No,7,5,59
Male,3,62,Yes,6,1,41
Female,8,72,No,4,2,64
Female,8,43,No,9,5,40
Female,5,98,No,9,4,84
Female,8,60,No,5,4,51
Male,6,63,No,5,5,49
Female,5,83,No,5,3,67
Female,9,70,No,9,5,70
Male,7,83,Yes,7,1,75
Male,8,87,No,5,5,80
Male,1,63,Yes,4,1,35
Male,2,88,No,8,2,65
Male,8,92,No,7,5,86
Male,9,49,Yes,9,3,45
Male,4,88,Yes,4,5,69
Male,9,88,Yes,9,4,86
Male,4,89,No,7,5,75
Female,9,41,Yes,7,2,39
Male,7,70,No,7,5,59
Male,2,64,No,6,3,42
Male,9,43,Yes,8,1,42
Female,4,90,No,5,2,70
Male,8,50,Yes,6,1,48
Female,7,56,Yes,8,1,49
Female,7,83,Yes,9,1,78
Female,8,41,Yes,5,4,34
Male,1,45,No,6,1,18
Male,5,48,No,6,3,33
Male,2,44,Yes,4,4,20
Female,2,59,Yes,6,4,35
Male,1,68,No,7,5,46
Male,5,60,No,9,2,42
Female,2,48,Yes,6,2,23
Female,4,67,No,7,1,51
Male,3,94,No,8,5,75
Male,3,47,No,8,2,27
Female,2,70,No,7,1,48
Male,6,59,Yes,4,4,45
Female,2,66,No,4,3,40
Female,8,47,Yes,8,2,42
Male,8,93,Yes,9,2,90
Female,5,60,Yes,6,1,45
Male,7,67,No,8,1,55
Male,4,62,No,8,3,45
Female,1,45,Yes,7,2,20
Female,2,42,No,4,1,15
Male,4,44,Yes,9,2,28
Female,1,48,Yes,7,2,25
Female,8,46,No,8,4,39
Female,9,99,No,5,3,96
Female,4,43,No,6,3,24
Male,3,78,Yes,8,2,63
Female,2,44,Yes,7,1,19
Female,5,50,No,5,5,31
Male,3,54,Yes,5,4,35
Female,7,73,Yes,8,3,65
Male,6,52,Yes,9,2,41
Female,1,93,No,4,1,65
Male,8,87,No,5,3,83
Male,2,46,No,6,3,22
Female,5,79,Yes,7,5,68
Male,9,45,No,7,1,40
Male,8,95,Yes,7,2,92
Male,2,78,Yes,8,3,54
Female,9,89,Yes,7,3,90
Female,5,69,No,7,4,57
Female,6,61,Yes,6,2,47
Male,3,64,No,4,2,43
Male,3,67,Yes,9,2,50
Male,8,93,No,8,4,91
Male,2,59,No,8,5,34
Female,2,78,No,7,5,54
Male,5,42,No,6,5,26
Female,6,44,No,5,1,34
Male,2,40,No,7,4,18
Male,5,54,No,7,5,38
Male,7,65,No,8,5,57
Female,8,42,Yes,8,3,34
Male,7,79,Yes,7,1,68
Female,8,96,Yes,8,2,92
Male,9,80,Yes,6,1,77
Male,5,86,Yes,5,3,71
Female,5,81,No,5,3,67
Female,4,73,No,5,5,59
Male,9,91,No,7,3,91
Female,5,44,No,9,3,29
Male,2,70,No,7,4,48
Female,8,90,Yes,7,5,90
Male,7,52,Yes,6,5,48
Male,8,82,No,5,2,77
Female,3,40,Yes,8,4,20
Female,4,61,Yes,8,5,42
Male,5,54,No,4,1,37
Female,6,65,No,4,1,52
Male,1,57,Yes,9,2,33
Female,4,87,Yes,8,5,72
Female,5,48,No,5,2,34
Female,7,40,Yes,7,5,33
Female,5,82,No,8,1,71
Female,1,48,Yes,9,5,25
Female,7,62,Yes,9,4,55
Female,8,82,No,8,2,76
Male,7,84,Yes,4,5,76
Male,4,97,No,5,4,81
Female,8,41,Yes,8,1,35
Male,5,53,Yes,7,4,35
Male,9,77,No,7,4,74
Female,5,79,Yes,6,1,66
Female,1,57,No,7,4,31
Female,9,55,No,8,2,54
Male,5,92,Yes,8,2,79
Female,6,68,No,7,3,58
Female,4,83,No,4,1,66
Male,6,50,No,5,3,36
Female,8,45,Yes,9,1,44
Female,3,42,No,8,2,26
Male,5,53,No,7,5,37
Female,2,99,Yes,9,3,82
Female,2,41,No,7,1,18
Male,7,71,No,8,4,66
Male,6,70,No,6,1,60
Male,4,50,Yes,5,1,32
Male,5,61,Yes,8,2,51
Male,1,42,Yes,9,5,18
Female,7,89,Yes,7,1,82
Male,8,70,Yes,6,1,66
Female,9,72,Yes,8,5,69
Female,8,63,No,5,3,59
Male,5,40,Yes,6,4,26
Female,3,83,Yes,9,1,63
Male,9,54,Yes,7,3,52
Male,6,76,Yes,4,4,66
Female,5,66,No,5,5,51
Female,3,77,No,6,3,54
Male,6,87,Yes,8,1,77
Female,3,66,No,8,2,45
Male,6,83,Yes,6,5,77
Female,4,51,No,8,3,32
Female,2,42,Yes,6,4,15
Male,8,69,Yes,5,4,62
Female,4,71,Yes,8,1,55
Male,9,62,Yes,5,1,59
Male,7,41,No,7,2,32
Male,2,46,Yes,7,4,21
Male,4,73,No,7,2,56
Female,5,71,No,7,4,55
Female,3,92,No,8,3,74
Female,9,78,Yes,6,3,74
Female,5,71,No,8,3,56
Male,2,82,No,9,5,58
Female,3,82,No,8,3,64
Male,9,53,Yes,5,3,49
Male,7,42,No,6,2,31
Male,2,85,Yes,4,5,64
Male,9,71,No,4,5,63
Male,4,82,No,6,3,66
Male,9,75,Yes,4,3,73
Male,2,56,Yes,6,1,38
Male,4,87,No,5,5,70
Male,5,42,Yes,5,2,27
Female,2,96,No,8,3,72
Male,1,49,No,4,1,21
Female,7,92,Yes,6,1,85
Female,1,86,Yes,5,3,62
Male,8,79,Yes,8,4,73
Female,3,57,No,4,2,32
Male,6,42,No,4,5,30
Male,7,78,No,4,1,64
Female,1,49,Yes,5,3,25
Male,6,91,Yes,5,3,82
Female,7,48,Yes,4,1,41
Female,6,85,No,5,3,71
Female,4,94,Yes,4,2,79
Male,1,85,Yes,7,3,59
Female,9,50,No,5,3,45
Male,4,99,Yes,6,4,84
Male,7,72,Yes,5,4,62
Female,7,75,No,4,3,65
Female,2,65,No,6,1,43
Female,1,66,No,8,4,39
Female,8,77,No,6,2,70
Female,8,61,No,6,4,54
Male,7,65,No,5,1,55
Male,8,61,Yes,9,5,55
Female,3,44,Yes,6,4,25
Female,2,74,No,6,5,52
Male,7,41,No,4,5,31
Male,8,74,Yes,5,4,68
Male,1,48,No,4,2,19
Male,9,90,No,5,2,87
Female,4,90,Yes,8,1,71
Male,4,88,Yes,9,4,74
Male,3,57,No,6,4,35
Male,6,82,No,5,2,69
Female,1,51,Yes,6,3,24
Male,6,42,No,6,2,29
Male,2,57,Yes,7,5,34
Female,9,95,Yes,4,1,93
Male,2,77,No,9,2,52
Female,7,46,Yes,5,2,37
Female,1,72,Yes,8,2,49
Female,7,45,Yes,9,3,38
Female,5,57,No,7,4,44
Male,8,84,No,4,5,75
Male,4,61,No,8,4,44
Female,7,90,Yes,8,2,84
Female,6,78,Yes,6,3,65
Male,5,90,No,4,5,75
Female,4,48,Yes,7,5,29
Male,7,74,Yes,5,3,67
Male,5,62,No,5,1,50
Female,5,51,Yes,7,3,38
Female,1,91,Yes,6,5,66
Female,2,63,Yes,6,1,42
Male,5,89,Yes,8,2,76
Male,3,79,Yes,4,2,64
Female,2,48,Yes,8,4,26
Female,4,52,No,5,4,31
Male,4,79,No,7,2,63
Female,4,93,Yes,4,2,77
Male,4,81,No,7,5,61
Female,3,56,No,4,4,33
Female,7,46,No,9,1,39
Female,9,56,Yes,5,3,52
Male,5,94,No,5,3,82
Female,4,89,Yes,9,1,73
Male,2,63,No,4,5,37
Female,2,41,No,6,2,16
Male,5,74,Yes,4,3,59
Female,7,67,No,5,1,59
Female,9,58,Yes,7,5,56
Female,7,72,No,8,4,59
Male,5,60,No,7,5,46
Male,6,92,No,5,4,80
Male,3,49,No,7,2,30
Male,5,92,Yes,6,5,78
Female,8,85,Yes,6,3,81
Female,1,84,No,4,3,57
Male,1,48,Yes,7,2,24
Male,7,77,No,7,2,66
Female,5,45,Yes,5,4,31
Female,5,90,Yes,4,1,73
Female,1,92,Yes,4,1,66
Male,9,81,No,7,2,78
Female,1,94,Yes,8,2,66
Male,5,74,Yes,7,1,57
Male,9,57,No,7,2,50
Female,4,92,No,7,5,77
Female,8,58,No,6,1,54
Male,6,44,Yes,9,1,30
Female,3,64,Yes,4,5,43
Female,4,50,Yes,9,1,34
Male,2,49,Yes,6,1,26
Female,1,56,Yes,8,4,36
Female,8,75,Yes,5,2,69
Female,1,65,No,8,2,39
Female,1,70,Yes,4,5,44
Female,4,71,Yes,5,2,56
Male,6,60,Yes,9,2,47
Female,9,57,No,8,2,56
Male,1,99,Yes,4,3,73
Male,7,57,No,8,1,48
Male,5,40,Yes,5,1,24
Male,8,53,No,5,1,49
Male,7,47,No,8,3,41
Female,4,41,No,6,2,24
Male,4,90,Yes,8,4,72
Male,6,54,No,9,2,45
Male,6,99,Yes,8,1,92
Male,9,73,No,8,4,68
Female,5,75,Yes,6,4,62
Male,8,40,No,7,3,36
Male,5,90,No,5,5,77
Male,2,60,Yes,9,3,40
Female,6,81,No,4,2,69
Male,9,40,Yes,5,5,38
Female,3,71,No,5,4,50
Female,1,59,No,7,3,33
Male,1,93,Yes,5,3,69
Male,3,86,Yes,5,2,63
Male,5,75,Yes,6,1,59
Male,3,78,No,6,2,54
Male,9,69,Yes,6,3,65
Male,8,46,Yes,6,3,41
Male,3,61,No,6,1,41
Male,9,96,Yes,9,2,94
Female,6,89,Yes,4,2,80
Male,7,84,No,7,1,74
Male,4,49,No,8,3,33
Male,4,95,No,9,1,78
Male,2,47,No,6,5,21
Female,5,66,No,7,3,49
Male,8,49,Yes,8,4,43
Female,7,53,No,5,5,40
Female,7,85,No,9,1,77
Female,6,98,No,5,4,84
Female,3,91,Yes,7,1,74
Female,5,93,Yes,4,2,78
Female,1,50,Yes,4,3,21
Female,7,45,Yes,7,3,34
Male,9,60,No,4,5,54
Female,1,72,No,4,1,47
Male,2,58,No,5,3,36
Female,3,78,Yes,4,2,53
Female,3,63,No,4,2,45
Female,8,57,Yes,7,4,52
Female,7,74,Yes,4,1,66
Female,6,91,Yes,9,3,79
Male,4,82,No,6,3,63
Female,9,76,No,6,5,72
